Name1	Name2	Edge type	Edge weight
AKAP10	AKAP10	1	1.00000246148172
AKAP10	ENST00000215739.8	2	0.001568912928903793
AKAP13	AKAP13	1	1.005417504840104
AKAP13	ANAPC13	1	0.024638143612273008
AKAP13	ATP13A2	1	-0.0644623782454582
AKAP2	AKAP2	1	1.0
AKAP7	AKAP7	1	1.0
AKAP8	AKAP8	1	1.004736552303568
AKAP8	ENST00000228027.7	2	0.06898541317765519
AKAP8L	AKAP8L	1	1.0
AKAP9	AKAP9	1	1.00001725549008
AKAP9	ENST00000232014.4	2	0.004154008646155644
AKT1	AKT1	1	1.000526497038155
AKT1	AMPD2	1	-0.016305976328075792
AKT1S1	AKT1S1	1	1.001822253129463
AKT1S1	ASNA1	1	-0.04272673327006643
AKT3	AKT3	1	1.0
AL590714.1	AL590714.1	1	1.0
ALAD	ALAD	1	1.005635729706611
ALAD	APEH	1	-0.05252138269498957
ALAD	ENST00000254624.5	2	-0.024681792123312868
ALAS1	ALAS1	1	1.000309702514913
ALAS1	ARFGAP2	1	0.0019059167805837718
ALAS1	ENST00000236067.4	2	-0.01749752702412749
ALAS2	ALAS2	1	1.0014760657781758
ALB	ALB	1	1.149305242347638
ALB	APOA2	1	-0.2325073778103393
ALB	APOC3	1	-0.2596660130277656
ALCAM	ALCAM	1	1.0
ALDH16A1	ALDH16A1	1	1.0
ALDH18A1	ALDH18A1	1	1.0
ALDH1A1	ALDH1A1	1	1.0
ALDH1A2	ALDH1A2	1	1.0
ALDH2	ALDH2	1	1.000041050705757
ALDH2	ENST00000257821.4	2	-0.006407213974666953
ALDH3A2	ALDH3A2	1	1.0000900484772428
ALDH3A2	ENST00000216064.4	2	0.009489814854418159
ALDH4A1	ALDH4A1	1	0.9999999999999998
ALDH9A1	ALDH9A1	1	1.0
ALDOA	ALDOA	1	1.00012807860215
ALDOA	ATP6V0A1	1	-0.01131790644410891
ALDOB	ALDOB	1	1.166125667740967
ALDOB	AMBP	1	-0.04886956855989516
ALDOB	APOA1	1	-0.1009840701171968
ALDOB	APOA2	1	-0.0423354017009106
ALDOB	APOC3	1	-0.1163766629513281
ALDOB	ARID1A	1	-0.01039375658890412
ALDOB	AUP1	1	0.02232810284202896
ALG13	ALG13	1	1.0
ALG2	ALG2	1	1.0
ALG3	ALG3	1	0.9999999999999992
ALG6	ALG6	1	0.9999999999999998
ALG8	ALG8	1	1.000000000000001
ALKBH1	ALKBH1	1	1.0
ALKBH3	ALKBH3	1	1.0
ALKBH6	ALKBH6	1	0.9999999999999992
ALKBH7	ALKBH7	1	1.122179901546146
ALKBH7	ARL6IP4	1	-0.07219356952237987
ALKBH7	ENST00000245812.3	2	0.3615005881686358
ALOX12	ALOX12	1	1.139277927377127
ALOX12	ANO6	1	-0.01183482253489782
ALOX12	AQP10	1	-0.2043735690610189
ALOX15B	ALOX15B	1	1.0732205985656742
ALOX15B	AMPH	1	-0.2064367074512454
ALOX15B	ARMC12	1	-0.02598018796200852
ALOX5	ALOX5	1	1.04363765427185
ALOX5	ALPL	1	-0.1654519102803786
ALOX5	AP5M1	1	0.009616960364097982
ALOX5AP	ALOX5AP	1	1.0
ALPL	ALPL	1	1.034175380383362
ALPL	APBB1IP	1	-0.08699662311674032
ALS2CL	ALS2CL	1	1.0
ALYREF	ALYREF	1	1.000000000000001
AMACR	AMACR	1	0.9999999999999996
AMBP	AMBP	1	1.230208331475542
AMBP	APOA1	1	-0.2982677691538358
AMBP	APOA2	1	-0.1501100689073525
AMBP	APOC3	1	-0.1246558696917575
AMBRA1	AMBRA1	1	1.001872537172831
AMBRA1	ARID1A	1	-0.03407292497199688
AMDHD2	AMDHD2	1	1.012346710269742
AMDHD2	ASAH1	1	-0.02346397136543221
AMDHD2	ENST00000160262.5	2	0.013301784633496929
AMDHD2	ENST00000191018.5	2	0.06368775570928886
AMDHD2	ENST00000225719.4	2	0.01470365552993491
AMFR	AMFR	1	1.0
AMICA1	AMICA1	1	1.013055481628024
AMICA1	APOBR	1	-0.03840721653330564
AMICA1	ARAP3	1	-0.03788797672124405
AMICA1	ARHGAP9	1	-0.09097646217827272
AMICA1	ENST00000229332.5	2	-0.0182477323122863
AMPD2	AMPD2	1	1.001652465004236
AMPD2	ARAP1	1	-0.01916451545636344
AMPD2	ATG16L2	1	-0.008794966577970686
AMPD3	AMPD3	1	1.0
AMPH	AMPH	1	1.104979115110655
AMT	AMT	1	0.9999999999999998
ANAPC10	ANAPC10	1	1.000133964401962
ANAPC10	ATXN7L3B	1	0.01157507444566341
ANAPC11	ANAPC11	1	1.010825472004194
ANAPC11	ATOX1	1	-0.01414926289130336
ANAPC11	ATP5L	1	-0.049646342053952235
ANAPC11	AURKAIP1	1	-0.05307959259572526
ANAPC13	ANAPC13	1	1.004587225180159
ANAPC13	ANKS1A	1	0.050920551372371066
ANAPC13	B2M	1	-0.03736690040806862
ANAPC2	ANAPC2	1	1.000140746373172
ANAPC2	ENST00000254235.3	2	0.0118337139869408
ANAPC4	ANAPC4	1	1.0
ANAPC5	ANAPC5	1	1.000441098088651
ANAPC5	APEH	1	-0.002895873661317383
ANAPC5	ARFGAP2	1	-0.0200648508382737
ANAPC7	ANAPC7	1	1.004140983867301
ANAPC7	AP4B1	1	-0.05262836277170863
ANAPC7	ENST00000257497.6	2	0.02032676415918649
ANG	ANG	1	1.0004559896701422
ANGEL1	ANGEL1	1	0.9999999999999998
ANK1	ANK1	1	0.9999999999999998
ANKFY1	ANKFY1	1	1.0
ANKH	ANKH	1	0.9999999999999998
ANKHD1	ANKHD1	1	1.0
ANKIB1	ANKIB1	1	1.0
ANKRA2	ANKRA2	1	1.000002051752759
ANKRA2	ENST00000175756.5	2	-0.0014323955349646311
ANKRD10	ANKRD10	1	1.001214409959851
ANKRD13A	ANKRD13A	1	0.9999999999999998
ANKRD13C	ANKRD13C	1	1.0
ANKRD13D	ANKRD13D	1	1.003571477546696
